"macrohabitat","n_criaderos","prevalencia_media","abundancia_media","aedes_media","ae_aegypti_media","ae_albopictus_media","prop_humedos"
"High dense",1847,0.0357336220898755,0.224147265836492,0.198159177043855,0.176502436383324,0.0216567406605306,0.172712506767731
"Medium dense",1605,0.0280373831775701,0.173831775700935,0.147040498442368,0.102180685358255,0.0448598130841121,0.183177570093458
"Low dense",1232,0.0267857142857143,0.145292207792208,0.103896103896104,0.075487012987013,0.0284090909090909,0.172077922077922
"Plantation",1301,0.0222905457340507,0.11837048424289,0.0906994619523444,0.02152190622598,0.0691775557263643,0.138355111452729
"Lake",1345,0.0193308550185874,0.0973977695167286,0.0773234200743494,0.0319702602230483,0.0438661710037175,0.139776951672862
"Barren Land",1390,0.0079136690647482,0.0956834532374101,0.0892086330935252,0.0381294964028777,0.0510791366906475,0.0503597122302158
