"breeding_habitat_type","n_criaderos","prevalencia_media","abundancia_media","aedes_media","prop_humedos"
"Artificial",7418,0.0258829873281208,0.160690212995417,0.137638177406309,0.155567538420059
"Natural",1302,0.0138248847926267,0.0752688172043011,0.0422427035330261,0.0837173579109063
