"season","n_criaderos","prevalencia_media","abundancia_media","abundancia_mediana","aedes_media","ae_aegypti_media","ae_albopictus_media","prop_humedos"
"april-june",3235,0.0204018547140649,0.0890262751159196,0,0.069242658423493,0.0522411128284389,0.0163833075734158,0.0899536321483771
"feb-march",1456,0.0206043956043956,0.182692307692308,0,0.166895604395604,0.14010989010989,0.0267857142857143,0.126373626373626
"july-september",2622,0.036231884057971,0.245614035087719,0,0.20137299771167,0.102212051868802,0.099160945842868,0.167048054919908
"october-december",1407,0.0135039090262971,0.0653873489694385,0,0.0575692963752665,0.046908315565032,0.0106609808102345,0.248756218905473
