"microhabitat","n_criaderos","prevalencia_media","abundancia_media","aedes_media","ae_aegypti_total","ae_albopictus_total"
"Stagnant water",79,0.164556962025316,0.468354430379747,0.0632911392405063,2,3
"Grinding stones",172,0.162790697674419,1.15697674418605,1.02906976744186,133,44
"Storage containers",364,0.14010989010989,0.81043956043956,0.678571428571429,230,15
"Discarded tires",184,0.0543478260869565,0.33695652173913,0.309782608695652,52,5
"Tree holes",47,0.0425531914893617,0.170212765957447,0.170212765957447,0,8
"Plant axils",83,0.036144578313253,0.072289156626506,0.0481927710843374,0,4
"Pots",1068,0.0355805243445693,0.176966292134831,0.154494382022472,127,38
"Coconut Shells",1172,0.0110921501706485,0.0716723549488055,0.0366894197952218,15,28
"Discarded containers",5551,0.00936768149882904,0.0738605656638444,0.0666546568185912,148,222
